ogc_fid,x,y
"526",2.132832,41.402566
"527",2.132844,41.401665
"528",2.132856,41.400764
"529",2.132868,41.399864
"530",2.132975,41.391758
"531",2.132987,41.390857
"532",2.132999,41.389956
"533",2.133011,41.389056
"534",2.132927,41.395360
"535",2.132939,41.394460
"536",2.132951,41.393559
"537",2.132963,41.392658
"538",2.132688,41.413373
"539",2.132700,41.412473
"540",2.132712,41.411572
"541",2.132724,41.410671
"542",2.132640,41.416976
"543",2.132652,41.416075
"544",2.132664,41.415175
"545",2.132676,41.414274
"546",2.132784,41.406168
"547",2.132796,41.405267
"548",2.132808,41.404367
"549",2.132820,41.403466
"550",2.132736,41.409771
"551",2.132760,41.407969
"552",2.132772,41.407069
"553",2.132496,41.427784
"554",2.132532,41.425082
"555",2.132448,41.431386
"556",2.132460,41.430486
"557",2.192933,41.379583
"558",2.132472,41.429585
"559",2.132484,41.428685
"560",2.132592,41.420579
"561",2.132604,41.419678
"562",2.132616,41.418777
"563",2.132628,41.417877
"564",2.132568,41.422380
"565",2.132580,41.421479
"566",2.132304,41.442194
"567",2.132316,41.441294
"568",2.192799,41.390391
"569",2.192810,41.389491
"570",2.132328,41.440393
"571",2.192821,41.388590
"572",2.132340,41.439492
"573",2.192832,41.387689
"574",2.192754,41.393994
"575",2.192765,41.393093
"576",2.132292,41.443095
"577",2.192777,41.392193
"578",2.192788,41.391292
"579",2.192888,41.383186
"580",2.132436,41.432287
"581",2.192910,41.381385
"582",2.192921,41.380484
"583",2.192843,41.386789
"584",2.192855,41.385888
"585",2.192866,41.384987
"586",2.192877,41.384087
"587",2.192621,41.404802
"588",2.192632,41.403901
"589",2.192643,41.403001
"590",2.192654,41.402100
"591",2.192576,41.408405
"592",2.192587,41.407504
"593",2.192598,41.406603
"594",2.192609,41.405703
"595",2.192710,41.397597
"596",2.192721,41.396696
"597",2.192732,41.395795
"598",2.192743,41.394895
"599",2.192665,41.401199
"600",2.192676,41.400299
"601",2.192687,41.399398
"602",2.132677,41.324199
"603",2.192699,41.398497
"604",2.132689,41.323298
"605",2.192442,41.419213
"606",2.192476,41.416511
"607",2.192397,41.422815
"608",2.192409,41.421915
"609",2.192431,41.420113
"610",2.192531,41.412007
"611",2.192542,41.411107
"612",2.192554,41.410206
"613",2.192565,41.409305
"614",2.192487,41.415610
"615",2.192498,41.414709
"616",2.192509,41.413809
"617",2.192520,41.412908
"618",2.192263,41.433623
"619",2.192275,41.432723
"620",2.192286,41.431822
"621",2.192297,41.430921
"622",2.132438,41.342212
"623",2.192219,41.437226
"624",2.132450,41.341311
"625",2.192230,41.436325
"626",2.192241,41.435425
"627",2.192252,41.434524
"628",2.132581,41.331404
"629",2.132593,41.330503
"630",2.192353,41.426418
"631",2.132605,41.329603
"632",2.192364,41.425517
"633",2.192375,41.424617
"634",2.132533,41.335007
"635",2.192386,41.423716
"636",2.192308,41.430021
"637",2.192319,41.429120
"638",2.192330,41.428219
"639",2.132569,41.332305
"640",2.192085,41.448034
"641",2.192096,41.447133
"642",2.192107,41.446233
"643",2.192118,41.445332
"644",2.192040,41.451637
"645",2.132258,41.355722
"646",2.132270,41.354821
"647",2.192051,41.450736
"648",2.132282,41.353921
"649",2.192062,41.449835
"650",2.132390,41.345815
"651",2.192074,41.448935
"652",2.192174,41.440829
"653",2.192185,41.439928
"654",2.192196,41.439027
"655",2.132426,41.343113
"656",2.192208,41.438127
"657",2.132378,41.346715
"658",2.192152,41.442630
"659",2.132103,41.367431
"660",2.192163,41.441729
"661",2.132115,41.366530
"662",2.132127,41.365629
"663",2.132055,41.371033
"664",2.132067,41.370133
"665",2.132079,41.369232
"666",2.132091,41.368331
"667",2.191995,41.455239
"668",2.192007,41.454339
"669",2.192018,41.453438
"670",2.192029,41.452537
"671",2.131911,41.381841
"672",2.131923,41.380941
"673",2.131935,41.380040
"674",2.131947,41.379139
"675",2.131863,41.385444
"676",2.131875,41.384543
"677",2.131887,41.383643
"678",2.131899,41.382742
"679",2.132007,41.374636
"680",2.132019,41.373735
"681",2.132031,41.372835
"682",2.132043,41.371934
"683",2.131959,41.378239
"684",2.131971,41.377338
"685",2.131983,41.376437
"686",2.131995,41.375537
"687",2.131719,41.396252
"688",2.131731,41.395351
"689",2.131743,41.394451
"690",2.131755,41.393550
"691",2.131671,41.399855
"692",2.131683,41.398954
"693",2.131695,41.398053
"694",2.131707,41.397153
"695",2.131815,41.389047
"696",2.131827,41.388146
"697",2.131839,41.387245
"698",2.131851,41.386345
"699",2.131767,41.392649
"700",2.131779,41.391749
"701",2.131791,41.390848
"702",2.131803,41.389947
"703",2.131528,41.410662
"704",2.131540,41.409762
"705",2.131552,41.408861
"706",2.131564,41.407960
"707",2.131480,41.414265
"708",2.131492,41.413364
"709",2.131504,41.412464
"710",2.131516,41.411563
"711",2.131623,41.403457
"712",2.131635,41.402556
"713",2.131647,41.401656
"714",2.131659,41.400755
"715",2.131575,41.407060
"716",2.131587,41.406159
"717",2.131599,41.405258
"718",2.131611,41.404358
"719",2.131336,41.425073
"720",2.131372,41.422371
"721",2.131287,41.428675
"722",2.131300,41.427775
"723",2.131432,41.417868
"724",2.131444,41.416967
"725",2.131456,41.416066
"726",2.131468,41.415166
"727",2.131384,41.421470
"728",2.131396,41.420570
"729",2.131408,41.419669
"730",2.131420,41.418768
"731",2.191636,41.387681
"732",2.191648,41.386780
"733",2.191659,41.385880
"734",2.131095,41.443086
"735",2.191592,41.391284
"736",2.131107,41.442185
"737",2.191603,41.390383
"738",2.131119,41.441285
"739",2.191614,41.389482
"740",2.131131,41.440384
"741",2.131239,41.432278
"742",2.191625,41.388582
"743",2.191726,41.380476
"744",2.131251,41.431377
"745",2.191737,41.379575
"746",2.131263,41.430477
"747",2.191748,41.378674
"748",2.131275,41.429576
"749",2.191759,41.377774
"750",2.191681,41.384078
"751",2.191692,41.383178
"752",2.191703,41.382277
"753",2.191714,41.381376
"754",2.191458,41.402092
"755",2.191469,41.401191
"756",2.191480,41.400290
"757",2.191491,41.399390
"758",2.191413,41.405694
"759",2.191424,41.404794
"760",2.191435,41.403893
"761",2.191447,41.402992
"762",2.191547,41.394886
"763",2.191558,41.393986
"764",2.131083,41.443987
"765",2.191569,41.393085
"766",2.191581,41.392184
"767",2.191502,41.398489
"768",2.191514,41.397588
"769",2.191525,41.396688
"770",2.191536,41.395787
"771",2.191279,41.416502
"772",2.191290,41.415602
"773",2.191301,41.414701
"774",2.191313,41.413800
"775",2.191234,41.420105
"776",2.131482,41.324190
"777",2.191246,41.419204
"778",2.131494,41.323289
"779",2.131506,41.322388
"780",2.191257,41.418304
"781",2.191268,41.417403
"782",2.191368,41.409297
"783",2.191380,41.408396
"784",2.191391,41.407496
"785",2.191402,41.406595
"786",2.191324,41.412900
"787",2.191335,41.411999
"788",2.191346,41.411098
"789",2.191357,41.410198
"790",2.131326,41.335898
"791",2.191100,41.430913
"792",2.131338,41.334998
"793",2.191111,41.430012
"794",2.131350,41.334097
"795",2.191123,41.429112
"796",2.131362,41.333196
"797",2.191134,41.428211
"798",2.131278,41.339501
"799",2.191056,41.434516
"800",2.191067,41.433615
"801",2.191078,41.432714
"802",2.191089,41.431814
"803",2.191190,41.423708
"804",2.191201,41.422807
"805",2.191212,41.421906
"806",2.191223,41.421006
"807",2.191145,41.427310
"808",2.191156,41.426410
"809",2.131398,41.330494
"810",2.191167,41.425509
"811",2.131410,41.329594
"812",2.191179,41.424608
"813",2.190921,41.445324
"814",2.190932,41.444423
"815",2.190944,41.443522
"816",2.190955,41.442622
"817",2.190877,41.448926
"818",2.190888,41.448026
"819",2.190899,41.447125
"820",2.190910,41.446224
"821",2.131231,41.343104
"822",2.191011,41.438118
"823",2.131243,41.342203
"824",2.191022,41.437218
"825",2.131254,41.341302
"826",2.191033,41.436317
"827",2.131266,41.340402
"828",2.191044,41.435416
"829",2.190966,41.441721
"830",2.131195,41.345806
"831",2.190977,41.440820
"832",2.190988,41.439920
"833",2.191000,41.439019
"834",2.130895,41.368322
"835",2.190832,41.452529
"836",2.190843,41.451628
"837",2.190854,41.450728
"838",2.190865,41.449827
"839",2.190798,41.455231
"840",2.190809,41.454330
"841",2.190821,41.453430
"842",2.123032,41.419605
"843",2.123044,41.418705
"844",2.123056,41.417804
"845",2.122971,41.424109
"846",2.122983,41.423208
"847",2.122996,41.422307
"848",2.123117,41.413301
"849",2.123129,41.412400
"850",2.123141,41.411500
"851",2.123153,41.410599
"852",2.123068,41.416903
"853",2.123080,41.416003
"854",2.123092,41.415102
"855",2.123105,41.414201
"856",2.183321,41.383118
"857",2.183332,41.382218
"858",2.183344,41.381317
"859",2.183355,41.380416
"860",2.183276,41.386721
"861",2.183287,41.385820
"862",2.183298,41.384920
"863",2.183310,41.384019
"864",2.122923,41.427711
"865",2.122935,41.426811
"866",2.183411,41.375913
"867",2.122947,41.425910
"868",2.122959,41.425009
"869",2.183377,41.378615
"870",2.122911,41.428612
"871",2.183389,41.377714
"872",2.183400,41.376814
"873",2.183141,41.397529
"874",2.183152,41.396629
"875",2.183163,41.395728
"876",2.183174,41.394827
"877",2.183096,41.401132
